0x0000000001983190 => 0x0000000000B764C0   (0x84)   VM_OP_GetLevel_Handler
0x0000000001983198 => 0x0000000000B72DE0   (0x85)   VM_OP_Jump_Handler
0x00000000019831A0 => 0x0000000000B722E0   (0x86)   VM_OP_GetUintptr_Handler
0x00000000019831A8 => 0x0000000000B8B500   (0x87)   VM_OP_InvalidOpcode_Handler
0x00000000019831B0 => 0x0000000000B70500   (0x88)   VM_OP_Equal_Handler
0x00000000019831B8 => 0x0000000000B76550   (0x89)   VM_OP_GetAnim_Handler
0x00000000019831C0 => 0x0000000000B7DE50   (0x8A)   VM_OP_WaitTill_Handler
0x00000000019831C8 => 0x0000000000B721E0   (0x8B)   VM_OP_GetUndefined_Handler
0x00000000019831D0 => 0x0000000000B70720   (0x8C)   VM_OP_ShiftLeft_Handler
0x00000000019831D8 => 0x0000000000B8B500   (0x8D)   VM_OP_InvalidOpcode_Handler
0x00000000019831E0 => 0x0000000000B77D20   (0x8E)   VM_OP_EvalFieldVariableOnStackRef_Handler
0x00000000019831E8 => 0x0000000000B70720   (0x8F)   VM_OP_ShiftLeft_Handler
0x00000000019831F0 => 0x0000000000B8B500   (0x90)   VM_OP_InvalidOpcode_Handler
0x00000000019831F8 => 0x0000000000B8B500   (0x91)   VM_OP_InvalidOpcode_Handler
0x0000000001983200 => 0x0000000000B8B500   (0x92)   VM_OP_InvalidOpcode_Handler
0x0000000001983208 => 0x0000000000B77D20   (0x93)   VM_OP_EvalFieldVariableOnStackRef_Handler
0x0000000001983210 => 0x0000000000B70720   (0x94)   VM_OP_ShiftLeft_Handler
0x0000000001983218 => 0x0000000000B700C0   (0x95)   VM_OP_Inc_Handler
0x0000000001983220 => 0x0000000000B74A30   (0x96)   VM_OP_ScriptThreadCallPointer_Handler
0x0000000001983228 => 0x0000000000B71890   (0x97)   VM_OP_Minus_Handler
0x0000000001983230 => 0x0000000000B766A0   (0x98)   VM_OP_EvalArray_Handler
0x0000000001983238 => 0x0000000000B8B500   (0x99)   VM_OP_InvalidOpcode_Handler
0x0000000001983240 => 0x0000000000B764C0   (0x9A)   VM_OP_GetLevel_Handler
0x0000000001983248 => 0x0000000000B7DE60   (0x9B)   VM_OP_Notify_Handler
0x0000000001983250 => 0x0000000000B7DE60   (0x9C)   VM_OP_Notify_Handler
0x0000000001983258 => 0x0000000000B72420   (0x9D)   VM_OP_Vector_Handler
0x0000000001983260 => 0x0000000000B726D0   (0x9E)   VM_OP_VectorScale_Handler
0x0000000001983268 => 0x0000000000B76380   (0x9F)   VM_OP_GetClassesObject_Handler
0x0000000001983270 => 0x0000000000B77DE0   (0xA0)   VM_OP_SetWaittillVariableFieldCached_Handler
0x0000000001983278 => 0x0000000000B77BF0   (0xA1)   VM_OP_EvalFieldVariableOnStack_Handler
0x0000000001983280 => 0x0000000000B8B500   (0xA2)   VM_OP_InvalidOpcode_Handler
0x0000000001983288 => 0x0000000000B73E10   (0xA3)   VM_OP_ScriptFunctionCallPointer_Handler
0x0000000001983290 => 0x0000000000B7C160   (0xA4)   VM_OP_EndOnCallback_Handler
0x0000000001983298 => 0x0000000000B706E0   (0xA5)   VM_OP_GreaterThanOrEqualTo_Handler
0x00000000019832A0 => 0x0000000000B8B500   (0xA6)   VM_OP_InvalidOpcode_Handler
0x00000000019832A8 => 0x0000000000B7C160   (0xA7)   VM_OP_EndOnCallback_Handler
0x00000000019832B0 => 0x0000000000B700C0   (0xA8)   VM_OP_Inc_Handler
0x00000000019832B8 => 0x0000000000B8B500   (0xA9)   VM_OP_InvalidOpcode_Handler
0x00000000019832C0 => 0x0000000000B7CA70   (0xAA)   VM_OP_Wait_Handler
0x00000000019832C8 => 0x0000000000B70440   (0xAB)   VM_OP_Bit_Or_Handler
0x00000000019832D0 => 0x0000000000B74150   (0xAC)   VM_OP_ScriptFunctionCallClass_Handler
0x00000000019832D8 => 0x0000000000B71E70   (0xAD)   VM_OP_Modulus_Handler
0x00000000019832E0 => 0x0000000000B76620   (0xAE)   VM_OP_GetAPIFunction_Handler
0x00000000019832E8 => 0x0000000000B8B500   (0xAF)   VM_OP_InvalidOpcode_Handler
0x00000000019832F0 => 0x0000000000B765F0   (0xB0)   VM_OP_GetFunction_Handler
0x00000000019832F8 => 0x0000000000B70440   (0xB1)   VM_OP_Bit_Or_Handler
0x0000000001983300 => 0x0000000000B8B500   (0xB2)   VM_OP_InvalidOpcode_Handler
0x0000000001983308 => 0x0000000000B8B500   (0xB3)   VM_OP_InvalidOpcode_Handler
0x0000000001983310 => 0x0000000000B70500   (0xB4)   VM_OP_Equal_Handler
